#Table1
u,g,r,i,z,redshift,class
21.1137,18.50571,17.04259,16.20682,15.65484,0.0001238566,STAR
21.4731,18.95885,17.59307,16.8224,16.40786,4.973223E-06,STAR
23.05161,20.76102,19.60165,19.15798,18.93674,0.0001892717,STAR
21.32218,20.11019,19.63111,19.45875,19.27914,0.0003027859,STAR
21.03832,19.96015,19.32418,18.97226,18.75928,0.2023623,GALAXY
21.20198,21.12061,20.98692,20.61443,20.70556,0.3993466,GALAXY
21.33695,20.22301,20.09698,20.16526,20.15811,-0.0005550211,STAR
22.36231,21.95747,21.85618,22.05066,21.5146,1.280083,QSO
23.48606,23.01905,22.80603,22.55708,21.82605,0.5271932,GALAXY
23.89396,23.73867,22.81001,22.65682,21.3636,0,GALAXY
23.6208,23.02995,22.99971,22.68571,22.48568,0,GALAXY
22.97334,22.40529,22.11516,22.04108,22.03048,1.047137,QSO
22.40952,21.54809,21.41933,21.24093,21.25659,0.02843474,GALAXY
22.15805,22.63706,22.01223,21.62971,21.21289,0,GALAXY
23.6668,23.6036,22.30213,22.24644,22.42457,1.24222,QSO
24.78403,23.01854,22.37157,22.2806,22.4921,-0.0001050816,STAR
17.91608,16.9998,16.61383,16.46706,16.39825,-0.0004250375,STAR
19.388,19.28972,18.97274,18.96854,19.04584,1.118061,QSO
19.771,18.64601,17.93077,17.50387,17.24255,0.1323255,GALAXY
20.75858,20.02213,19.67522,19.57206,19.56455,0.003569196,STAR
21.14377,20.08737,19.72318,19.45819,19.30438,0.06360599,GALAXY
20.27534,20.21467,19.82522,19.68236,19.82938,1.185911,QSO
20.27888,19.24688,18.75989,18.55534,18.4969,-0.0002002291,STAR
20.32457,18.73342,17.98873,17.65988,17.48757,-0.0004402835,STAR
19.48185,17.89582,17.25847,17.01245,16.8871,0.0002448887,STAR
19.64993,18.09986,17.10175,16.62688,16.3351,0.1514933,GALAXY
19.60432,18.24687,17.54662,17.18493,16.93261,0.07254888,GALAXY
20.22921,18.30682,17.34083,16.89756,16.57812,0.07445111,GALAXY
21.69848,19.59746,18.57647,18.12275,17.87411,-0.0002210987,STAR
20.6662,19.65183,19.16862,18.85278,18.70193,0.1095859,GALAXY
23.19409,20.71985,19.37242,18.67682,18.26025,-0.0001739648,STAR
23.46785,21.50057,20.08193,18.97816,18.35723,5.094727E-05,STAR
24.58152,20.59771,19.39954,18.89094,18.63201,8.636532E-05,STAR
21.4663,20.46213,19.59911,19.13619,18.82318,0.223789,GALAXY
21.0745,20.21694,19.613,19.31551,19.53444,0.1882468,GALAXY
21.88259,21.82032,21.26077,20.92069,20.34123,0.9596722,QSO
20.5682,20.69011,20.18111,20.22575,20.38347,1.248642,QSO
21.83127,21.79577,21.3972,20.98425,20.99079,1.528805,QSO
25.2793,22.29494,20.92236,20.07653,19.59371,0.5303158,GALAXY
21.79489,20.33785,19.20146,18.66043,18.36837,0.1886894,GALAXY
23.31561,22.49249,22.28233,21.86224,21.87251,0.9722549,GALAXY
25.99731,22.56911,21.84086,21.88459,23.44192,0.1562618,GALAXY
22.32689,21.58528,19.9611,19.05829,18.75232,0.5295813,GALAXY
25.36586,22.49217,21.89897,21.05641,20.5384,0.838605,GALAXY
24.65883,23.75643,22.49752,20.08005,18.71401,-6.253898E-05,STAR
22.97698,23.57167,22.19072,21.60454,21.74852,1.273766,QSO
23.89452,24.07803,22.85078,23.69384,22.94704,0.2834576,GALAXY
24.8281,23.52915,21.74602,20.38832,19.9386,0.6564389,GALAXY
24.94815,23.08984,21.00536,19.67224,18.95996,0.6902823,GALAXY
23.46166,23.63398,21.68654,20.28279,20.29825,0.6350201,GALAXY
24.626,23.85496,21.76109,20.71085,19.85972,0.6892225,GALAXY
23.38008,23.44411,21.86055,20.81932,20.00599,0.5322651,GALAXY
23.15435,22.94261,22.01114,21.77221,21.15703,0.7316579,GALAXY
24.03585,23.10892,22.30823,21.42012,21.30173,0.888149,GALAXY
24.7324,25.42497,22.05832,20.72031,19.7793,0.8404443,GALAXY
24.20066,23.36192,23.2838,21.76859,21.30798,0.7682889,GALAXY
17.71465,16.20278,15.58864,15.36798,15.23839,-9.822403E-05,STAR
18.58106,17.48278,17.08224,16.94469,16.86253,0.0002223217,STAR
20.4603,18.81464,18.15489,17.7868,17.60035,0.07472415,GALAXY
17.78227,17.62147,17.92135,18.2149,18.49106,0.0001455912,STAR
17.74149,16.5935,16.17159,16.02715,15.93656,0.0001068582,STAR
21.41023,19.99097,19.93641,20.03777,20.05154,-0.0005656344,STAR
20.32575,20.06967,19.7978,19.57714,19.1912,0.4100541,QSO
21.07151,20.09495,19.17415,18.81943,18.3151,0.2978915,GALAXY
22.7391,20.51887,19.56112,19.26419,18.97214,0.0001905988,STAR
23.54873,20.77683,19.20129,18.22792,17.64319,0.0002511565,STAR
21.99181,20.46001,19.32168,18.8163,18.42431,0.1985384,GALAXY
21.8728,21.78912,21.40793,21.11704,20.94154,0.5972331,QSO
21.30309,20.67854,20.62993,20.53562,20.3172,2.116208,QSO
21.97678,21.69002,21.65815,21.30574,21.69213,1.626991,QSO
26.22486,20.91536,19.47834,18.9334,18.48769,0.3234076,GALAXY
23.15507,22.95863,21.9975,20.7059,19.80636,1.087738,GALAXY
25.8272,21.76029,20.00594,19.0087,18.54549,0.5308802,GALAXY
20.84625,19.88491,19.04641,18.66838,18.42713,0.2220076,GALAXY
23.29329,22.18138,22.14225,21.60317,21.62629,1.727565,QSO
22.84976,23.00827,21.40612,20.219,19.40518,0.7320235,GALAXY
22.08327,21.92752,21.62403,21.40738,21.38257,1.613438,QSO
22.0458,21.28178,21.65474,21.24052,21.41294,1.792817,QSO
19.10064,16.8149,15.60841,15.11939,14.75466,0.156453,GALAXY
20.35764,18.1697,17.00046,16.51065,16.19602,0.1531706,GALAXY
19.84112,18.31459,17.70017,17.45584,17.36307,6.093838E-05,STAR
23.58185,20.37692,19.11336,18.63777,18.38258,0.2135938,GALAXY
18.5211,16.65724,15.9237,15.48312,15.17295,0.06675781,GALAXY
20.32591,19.33834,18.79022,18.42124,18.26366,0.06669576,GALAXY
20.26043,19.02534,18.56368,18.32345,18.17825,0.02389494,GALAXY
17.56852,16.07338,15.48176,15.28377,15.19522,0.0002400847,STAR
24.35689,20.56286,18.96594,18.08315,17.60343,0.0003166502,STAR
18.73592,17.4272,16.80908,16.47318,16.18574,0.03646222,GALAXY
20.68344,18.6949,17.56325,17.04217,16.59908,0.1031313,GALAXY
22.08768,20.0287,19.2669,18.97199,18.77237,0.0001145605,STAR
23.37992,20.31189,18.93714,18.19742,17.80151,0.0001654938,STAR
22.35711,19.70595,18.34925,17.75518,17.41731,0.0002237857,STAR
19.39842,18.40464,18.17116,18.03709,17.93543,0.0222007,GALAXY
19.9598,18.74298,18.21452,18.03182,17.94836,0.0001671365,STAR
21.35825,20.04883,19.17889,18.77815,18.54567,0.2267069,GALAXY
19.50301,18.32952,17.64112,17.26048,17.0331,0.1380212,GALAXY
22.95892,20.18197,18.40692,17.78496,17.41217,0.3090246,GALAXY
20.06419,18.7175,17.88697,17.4596,17.16274,0.1487097,GALAXY
20.95011,20.49389,19.96259,20.00427,19.90314,1.055772,QSO
22.77737,20.09065,18.60499,18.10824,17.73026,0.2495529,GALAXY
20.24336,18.96328,17.92061,17.41211,17.04753,0.1628011,GALAXY
21.88467,19.912,18.63855,18.14117,17.78924,0.1952272,GALAXY
22.34869,20.0913,18.55439,17.94346,17.60077,0.3182826,GALAXY
22.89115,21.13601,19.93862,19.40444,19.09804,1.395532E-05,STAR
23.98771,21.11526,19.73831,18.50679,17.80876,0.0002358177,STAR
21.68376,20.73184,20.04118,19.81058,19.53287,0.3104864,GALAXY
23.94553,22.58903,20.4778,19.58395,19.23685,0.5887405,GALAXY
21.5328,21.06651,20.51501,19.94328,19.60336,3.784543,QSO
20.93615,20.27921,20.01723,19.56771,19.39163,1.715087,QSO
21.26942,20.18156,19.33636,18.97832,18.58214,0.3177549,GALAXY
22.14047,20.22921,19.40955,18.99157,18.65623,0.1950213,GALAXY
